station_slug,station_name,address,province
ben-xe-eakar,Bến xe Eakar,"6 Nguyễn Tất Thành, Ea Kar, Đắk Lắk, Vietnam, Ea Kar",Đắk Lắk
ben-xe-gia-lam,Bến xe Gia Lâm,"Số 9 Ngô Gia Khảm, Long Biên, Thành phố Hà Nội",Hà Nội
ben-xe-gia-nghia,Bến xe Gia Nghĩa,"Đường Mạc Thị Bưởi, Phường Nghĩa Thành, Gia Nghĩa",Đắk Nông
ben-xe-giao-thuy,Bến xe Giao Thủy,"ĐT489, TT. Ngô Đồng, Nam Định, Giao Thủy",Nam Định
ben-xe-go-cong,Bến xe Gò Công,"Đường Đồng Khởi - Phường 4, Gò Công",Tiền Giang
ben-xe-ha-giang,Bến xe Hà Giang,"Bến xe Hà Giang, Hà Giang",Hà Giang
ben-xe-ha-tien,Bến xe Hà Tiên,"QL 80, Kp 5, P.Bình San, Hà Tiên",Kiên Giang
ben-xe-ha-tinh,Bến xe Hà Tĩnh,"Đường Hàm Nghi kéo dài, Bắc Thượng, Thạch Hà",Hà Tĩnh
ben-xe-hung-vuong,Bến xe Hùng Vương,"Số 01 Hùng Vương, Thới Bình, Ninh Kiều, Thành phố Cần Thơ",Cần Thơ
ben-xe-hung-yen,Bến xe Hưng Yên,"Phường Hiền Nam, Hưng Yên",Hưng Yên
ben-xe-ka-do,Bến xe Ka Đô,Đơn Dương,Lâm Đồng
ben-xe-khach-da-nang,Bến xe trung tâm Đà Nẵng,"185 Tôn Đức Thắng, Liên Chiểu, Thành phố Đà Nẵng",Đà Nẵng
